week_date,fb_followers,fb_reach,fb_engagements,fb_posts,fb_clicks,fb_conversions,ig_followers,ig_reach,ig_engagements,ig_posts,ig_clicks,ig_conversions,site_visitors,site_page_views,site_bounce_rate,site_avg_session_min,site_conversions,airbnb_views,airbnb_inquiries,airbnb_bookings,airbnb_nights_booked,airbnb_revenue,airbnb_occupancy_rate,month,year,quarter
2025-01-03,2200.0,219,11,0,0,0,100.0,157.0,6.0,1.0,12.0,0.0,120.0,356.0,0.3370786517,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2025-01,2025,2025Q1
2025-01-10,2200.0,198,9,1,0,0,110.0,42.0,6.0,1.0,22.0,0.0,180.0,434.0,0.4147465438,1.5,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2025-01,2025,2025Q1
2025-01-17,2200.0,199,9,2,0,0,115.0,36.0,6.0,1.0,19.0,0.0,200.0,524.0,0.3816793893,1.2,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2025-01,2025,2025Q1
2025-01-24,2200.0,2783,688,1,0,0,118.0,280.0,7.0,1.0,29.0,0.0,230.0,682.0,0.3372434018,2.1,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2025-01,2025,2025Q1
2025-01-31,2200.0,8700,1291,0,0,0,120.0,100500.0,146.0,0.0,285.0,0.0,250.0,752.0,0.3324468085,1.6,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2025-01,2025,2025Q1
2025-02-07,2200.0,147,4,0,0,0,130.0,359.0,3.0,1.0,16.0,0.0,280.0,872.0,0.3211009174,1.2,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2025-02,2025,2025Q1
2025-02-14,2200.0,100,2,0,0,0,135.0,158.0,1.0,1.0,8.0,0.0,350.0,953.0,0.3672612802,1.32,0.0,10.0,1.0,0.0,0.0,0.0,0.0,2025-02,2025,2025Q1
2025-02-21,2200.0,26,4,0,0,0,138.0,73.0,1.0,0.0,12.0,0.0,400.0,1103.0,0.3626473255,1.24,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2025-02,2025,2025Q1
2025-02-28,2250.0,10,2,0,0,0,140.0,38.0,1.0,0.0,5.0,0.0,450.0,1234.0,0.3646677472,1.16,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2025-02,2025,2025Q1
2025-03-07,2250.0,5,3,0,0,0,142.0,30.0,1.0,0.0,7.0,0.0,550.0,1572.0,0.3498727735,1.08,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2025-03,2025,2025Q1
2025-03-14,2250.0,101,2,3,0,0,143.0,86.0,4.0,1.0,0.0,0.0,543.0,1592.0,0.341080402,1.0,0.0,8.0,0.0,1.0,2.0,200.0,1.0,2025-03,2025,2025Q1
2025-03-21,2250.0,1164,17,2,0,0,144.0,418.0,26.0,2.0,0.0,0.0,630.0,1782.0,0.3535353535,1.9,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2025-03,2025,2025Q1
2025-03-28,2250.0,1292,9,2,0,0,146.0,113.0,7.0,2.0,0.0,0.0,730.0,1985.0,0.3677581864,2.2,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2025-03,2025,2025Q1
2025-04-04,2250.0,1901,7,1,0,0,148.0,7.0,194.0,1.0,0.0,0.0,850.0,2009.0,0.4230960677,1.9,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2025-04,2025,2025Q2
2025-04-11,2250.0,395,7,2,0,0,149.0,101.0,5.0,2.0,2.0,0.0,953.0,2167.0,0.4397784956,1.5,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2025-04,2025,2025Q2
2025-04-18,2250.0,440,71,2,0,0,150.0,212.0,15.0,1.0,3.0,0.0,1233.0,2345.0,0.5257995736,1.6,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2025-04,2025,2025Q2
2025-04-25,2250.0,806,169,2,0,0,152.0,274.0,17.0,2.0,2.0,1.0,1554.0,2562.0,0.606557377,1.8,0.0,9.0,1.0,1.0,1.0,226.0,0.4424778761,2025-04,2025,2025Q2
2025-05-02,2255.0,1193,44,1,0,0,153.0,67.0,10.0,1.0,0.0,1.0,1667.0,2764.0,0.6031114327,1.2,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2025-05,2025,2025Q2
2025-05-09,2260.0,33,5,1,0,0,154.0,125.0,5.0,1.0,0.0,0.0,1889.0,2982.0,0.6334674715,1.3,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2025-05,2025,2025Q2
